beginnen	hebben	laten	liggen	1901	1
beginnen	kunnen	worden	ontkennen	1950	1
beginnen	moeten	leren	nemen	1983	1
beginnen	verlangen	kunnen	maken	1950	1
beginnen	vrezen	moeten	slapen	1946	1
beginnen	vrezen	zullen	verliezen	1886	1
beginnen	wensen	zijn	beginnen	1912	1
beginnen	willen	laten	genieten	1952	1
beginnen	zoeken	hebben	strijken	1906	1
behoeven	denken	zijn	omgeven	1949	1
behoeven	hebben	horen	spreken	1914	1
behoeven	hebben	mogen	werpen	1863	1
behoeven	hopen	worden	kiezen	1891	1
behoeven	houden	kunnen	schrijven	1892	1
behoeven	kunnen	worden	af_leiden	1967	1
behoeven	kunnen	worden	omschrijven	1959	1
behoeven	vrezen	doen	beantwoorden	1859	1
behoeven	vrezen	worden	bespotten	1847	1
behoeven	vrezen	zullen	plukken	1866	1
behoren	hebben	kunnen	oefenen	1870	1
behoren	hebben	leren	verstaan	1858	1
behoren	kunnen	worden	aan_spreken	1986	1
behoren	kunnen	worden	aan_tonen	1907	1
behoren	kunnen	worden	bestuderen	1896	1
behoren	kunnen	worden	geven	1902	1
behoren	kunnen	worden	halen	1929	1
behoren	kunnen	worden	kiezen	1896	1
behoren	kunnen	worden	schrappen	1886	1
behoren	kunnen	worden	zeggen	1854	1
behoren	worden	leren	verdedigen	1905	1
beloven	doen	worden	geboren	1837	1
beloven	houden	laten	weg_gaan	1906	1
beloven	zullen	blijven	ijveren	1992	1
beloven	zullen	doen	hebben	1989	1
beloven	zullen	doen	toe_komen	1881	1
beloven	zullen	gaan	kleden	1863	1
beloven	zullen	komen	halen	1956	1
beloven	zullen	laten	heen_gaan	1891	1
beloven	zullen	laten	leeg_pompen	1928	1
beloven	zullen	laten	leiden	1966	1
beloven	zullen	laten	maken	1954	1
beloven	zullen	laten	op_leiden	1920	1
beloven	zullen	laten	op_treden	1933	1
beloven	zullen	laten	rusten	1938	1
beloven	zullen	laten	wachten	1955	1
beloven	zullen	pogen	houden	1892	1
beloven	zullen	worden	slaan	1983	1
besluiten	hebben	verlangen	zijn	1925	1
besluiten	weigeren	zullen	geven	1913	1
besluiten	zullen	laten	onderzoeken	1927	1
beweren	hebben	doen	lossen	1893	1
beweren	hebben	doen	ontstaan	1877	1
beweren	hebben	kunnen	verstaan	1905	1
beweren	hebben	kunnen	volgen	1912	1
beweren	hebben	laten	horen	1999	1
beweren	hebben	laten	zetten	1900	1
beweren	hebben	moeten	strijden	1924	1
beweren	hebben	moeten	vluchten	1914	1
beweren	hebben	willen	besparen	1935	1
beweren	hebben	willen	publiceren	1988	1
beweren	hebben	zien	ontsnappen	1975	1
beweren	kunnen	krijgen	doen	1981	1
beweren	kunnen	laten	leven	1960	1
beweren	kunnen	laten	leven	1973	1
beweren	mogen	worden	aan_spreken	1933	1
beweren	zullen	laten	varen	1915	1
blijken	blijven	doen	gelden	1939	1
blijken	hebben	horen	maken	1973	1
blijken	hebben	kunnen	lijden	1931	1
blijken	hebben	kunnen	op_treden	1925	1
blijken	hebben	kunnen	produceren	1970	1
